Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
Rashid Khan,Sunrisers Hyderabad,6.12,247.54,253.66,253.66,2019,2019,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2019,1406250
S Dhawan,Delhi Capitals,-17.76,0,-17.76,-17.76,2019,2019,S Dhawan|Delhi Capitals,S Dhawan|Delhi Capitals|2019,812500
S Gopal,Rajasthan Royals,-1.23,96.02,94.79,94.78,2019,2019,S Gopal|Rajasthan Royals,S Gopal|Rajasthan Royals|2019,31250
SA Yadav,Mumbai Indians,-3.84,0,-3.84,-3.84,2019,2019,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2019,500000
SK Raina,Chennai Super Kings,-36.98,2.03,-34.95,-34.96,2019,2019,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2019,1718750
SL Malinga,Mumbai Indians,0,-302.47,-302.47,-302.47,2019,2019,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2019,285700
SM Curran,Kings XI Punjab,25.55,-186.86,-161.31,-161.31,2019,2019,SM Curran|Kings XI Punjab,SM Curran|Kings XI Punjab|2019,1028600
SP Narine,Kolkata Knight Riders,17.32,-13.51,3.81,3.81,2019,2019,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2019,1953130
SPD Smith,Rajasthan Royals,-14.86,0,-14.86,-14.86,2019,2019,SPD Smith|Rajasthan Royals,SPD Smith|Rajasthan Royals|2019,1953130
SR Watson,Chennai Super Kings,-44.31,0,-44.31,-44.31,2019,2019,SR Watson|Chennai Super Kings,SR Watson|Chennai Super Kings|2019,625000
SS Iyer,Delhi Capitals,-3.7,0,-3.7,-3.7,2019,2019,SS Iyer|Delhi Capitals,SS Iyer|Delhi Capitals|2019,1093750
SV Samson,Rajasthan Royals,30.61,0,30.61,30.61,2019,2019,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2019,1250000
Sandeep Sharma,Sunrisers Hyderabad,2.86,-47.66,-44.8,-44.8,2019,2019,Sandeep Sharma|Sunrisers Hyderabad,Sandeep Sharma|Sunrisers Hyderabad|2019,468750
