Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
Ravi Bishnoi,Punjab Kings,-4.67,111.18,106.51,106.51,2021,2021,Ravi Bishnoi|Punjab Kings,Ravi Bishnoi|Punjab Kings|2021,285700
S Dhawan,Delhi Capitals,-15.26,0,-15.26,-15.26,2021,2021,S Dhawan|Delhi Capitals,S Dhawan|Delhi Capitals|2021,812500
S Dube,Rajasthan Royals,-17.84,-14.79,-32.63,-32.63,2021,2021,S Dube|Rajasthan Royals,S Dube|Rajasthan Royals|2021,628600
SA Yadav,Mumbai Indians,43.77,0,43.77,43.77,2021,2021,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2021,500000
SN Thakur,Chennai Super Kings,-2.18,-178.03,-180.21,-180.21,2021,2021,SN Thakur|Chennai Super Kings,SN Thakur|Chennai Super Kings|2021,406250
SO Hetmyer,Delhi Capitals,58.35,0,58.35,58.35,2021,2021,SO Hetmyer|Delhi Capitals,SO Hetmyer|Delhi Capitals|2021,1107100
SP Narine,Kolkata Knight Riders,0.99,199.14,200.13,200.13,2021,2021,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2021,1953130
SV Samson,Rajasthan Royals,34.26,0,34.26,34.26,2021,2021,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2021,1250000
Shivam Mavi,Kolkata Knight Riders,7.33,14.15,21.48,21.47,2021,2021,Shivam Mavi|Kolkata Knight Riders,Shivam Mavi|Kolkata Knight Riders|2021,468750
Shubman Gill,Kolkata Knight Riders,-57.78,0,-57.78,-57.78,2021,2021,Shubman Gill|Kolkata Knight Riders,Shubman Gill|Kolkata Knight Riders|2021,281250
TA Boult,Mumbai Indians,-2.37,-19.81,-22.18,-22.18,2021,2021,TA Boult|Mumbai Indians,TA Boult|Mumbai Indians|2021,460000
V Kohli,Royal Challengers Bangalore,-30.69,0,-30.69,-30.69,2021,2021,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2021,2656250
VR Iyer,Kolkata Knight Riders,-5.16,-12.69,-17.85,-17.85,2021,2021,VR Iyer|Kolkata Knight Riders,VR Iyer|Kolkata Knight Riders|2021,28600
YBK Jaiswal,Rajasthan Royals,38.21,0,38.21,38.21,2021,2021,YBK Jaiswal|Rajasthan Royals,YBK Jaiswal|Rajasthan Royals|2021,342900
YS Chahal,Royal Challengers Bangalore,-5.37,82.82,77.45,77.45,2021,2021,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2021,937500
AD Russell,Kolkata Knight Riders,57.29,-92.51,-35.22,-35.22,2022,2022,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2022,1328130
AK Markram,Sunrisers Hyderabad,31.78,-13.72,18.06,18.06,2022,2022,AK Markram|Sunrisers Hyderabad,AK Markram|Sunrisers Hyderabad|2022,351351
AT Rayudu,Chennai Super Kings,-49.5,0,-49.5,-49.5,2022,2022,AT Rayudu|Chennai Super Kings,AT Rayudu|Chennai Super Kings|2022,343750
Abhishek Sharma,Sunrisers Hyderabad,-1.74,-6.87,-8.61,-8.62,2022,2022,Abhishek Sharma|Sunrisers Hyderabad,Abhishek Sharma|Sunrisers Hyderabad|2022,85940
Arshdeep Singh,Punjab Kings,4.71,0.91,5.62,5.62,2022,2022,Arshdeep Singh|Punjab Kings,Arshdeep Singh|Punjab Kings|2022,28600
Avesh Khan,Lucknow Super Giants,5.46,-9.77,-4.31,-4.3,2022,2022,Avesh Khan|Lucknow Super Giants,Avesh Khan|Lucknow Super Giants|2022,109380
B Kumar,Sunrisers Hyderabad,-6.01,86.22,80.21,80.21,2022,2022,B Kumar|Sunrisers Hyderabad,B Kumar|Sunrisers Hyderabad|2022,1328130
D Padikkal,Rajasthan Royals,-37.31,0,-37.31,-37.31,2022,2022,D Padikkal|Rajasthan Royals,D Padikkal|Rajasthan Royals|2022,28600
DA Miller,Gujarat Titans,1.64,0,1.64,1.64,2022,2022,DA Miller|Gujarat Titans,DA Miller|Gujarat Titans|2022,107100
DA Warner,Delhi Capitals,42.86,0,42.86,42.86,2022,2022,DA Warner|Delhi Capitals,DA Warner|Delhi Capitals|2022,1953130
DJ Bravo,Chennai Super Kings,-7.11,-63.52,-70.63,-70.63,2022,2022,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2022,1000000
DP Conway,Chennai Super Kings,23.18,0,23.18,23.18,2022,2022,DP Conway|Chennai Super Kings,DP Conway|Chennai Super Kings|2022,135135
DR Sams,Mumbai Indians,-6.52,-63.52,-70.04,-70.04,2022,2022,DR Sams|Mumbai Indians,DR Sams|Mumbai Indians|2022,351351
F du Plessis,Royal Challengers Bangalore,-23.85,0,-23.85,-23.85,2022,2022,F du Plessis|Royal Challengers Bangalore,F du Plessis|Royal Challengers Bangalore|2022,250000
GJ Maxwell,Royal Challengers Bangalore,72.63,100.53,173.16,173.17,2022,2022,GJ Maxwell|Royal Challengers Bangalore,GJ Maxwell|Royal Challengers Bangalore|2022,2035700
HH Pandya,Gujarat Titans,6.79,80.65,87.44,87.43,2022,2022,HH Pandya|Gujarat Titans,HH Pandya|Gujarat Titans|2022,1718750
HV Patel,Royal Challengers Bangalore,-6.73,-6.27,-13,-13,2022,2022,HV Patel|Royal Challengers Bangalore,HV Patel|Royal Challengers Bangalore|2022,31250
Ishan Kishan,Mumbai Indians,-7,0,-7,-7,2022,2022,Ishan Kishan|Mumbai Indians,Ishan Kishan|Mumbai Indians|2022,968750
JC Buttler,Rajasthan Royals,79.94,0,79.94,79.94,2022,2022,JC Buttler|Rajasthan Royals,JC Buttler|Rajasthan Royals|2022,687500
JJ Bumrah,Mumbai Indians,-6.95,88.54,81.59,81.59,2022,2022,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2022,1093750
JM Bairstow,Punjab Kings,33.24,0,33.24,33.24,2022,2022,JM Bairstow|Punjab Kings,JM Bairstow|Punjab Kings|2022,314300
JM Sharma,Punjab Kings,49.89,0,49.89,49.89,2022,2022,JM Sharma|Punjab Kings,JM Sharma|Punjab Kings|2022,24000
JR Hazlewood,Royal Challengers Bangalore,-2.75,50.94,48.19,48.2,2022,2022,JR Hazlewood|Royal Challengers Bangalore,JR Hazlewood|Royal Challengers Bangalore|2022,285700
K Rabada,Punjab Kings,13.73,-43.94,-30.21,-30.22,2022,2022,K Rabada|Punjab Kings,K Rabada|Punjab Kings|2022,656250
KD Karthik,Royal Challengers Bangalore,71.98,0,71.98,71.98,2022,2022,KD Karthik|Royal Challengers Bangalore,KD Karthik|Royal Challengers Bangalore|2022,1156250
KK Ahmed,Delhi Capitals,-1.21,38.6,37.39,37.4,2022,2022,KK Ahmed|Delhi Capitals,KK Ahmed|Delhi Capitals|2022,468750
KL Rahul,Lucknow Super Giants,16.67,0,16.67,16.67,2022,2022,KL Rahul|Lucknow Super Giants,KL Rahul|Lucknow Super Giants|2022,1718750
KS Williamson,Sunrisers Hyderabad,-83.27,0,-83.27,-83.27,2022,2022,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2022,468750
Kuldeep Yadav,Delhi Capitals,-16.24,-2.36,-18.6,-18.6,2022,2022,Kuldeep Yadav|Delhi Capitals,Kuldeep Yadav|Delhi Capitals|2022,28600
LH Ferguson,Gujarat Titans,0.71,-155.5,-154.79,-154.79,2022,2022,LH Ferguson|Gujarat Titans,LH Ferguson|Gujarat Titans|2022,228600
LS Livingstone,Punjab Kings,74.4,-9.62,64.78,64.78,2022,2022,LS Livingstone|Punjab Kings,LS Livingstone|Punjab Kings|2022,107100
M Prasidh Krishna,Rajasthan Royals,-6.86,-11.25,-18.11,-18.12,2022,2022,M Prasidh Krishna|Rajasthan Royals,M Prasidh Krishna|Rajasthan Royals|2022,15620
M Theekshana,Chennai Super Kings,1.62,65.41,67.03,67.03,2022,2022,M Theekshana|Chennai Super Kings,M Theekshana|Chennai Super Kings|2022,94595
MM Ali,Chennai Super Kings,-2.27,77.88,75.61,75.62,2022,2022,MM Ali|Chennai Super Kings,MM Ali|Chennai Super Kings|2022,1000000
MR Marsh,Delhi Capitals,-17.46,-4.64,-22.1,-22.1,2022,2022,MR Marsh|Delhi Capitals,MR Marsh|Delhi Capitals|2022,285700
MS Dhoni,Chennai Super Kings,-20.15,0,-20.15,-20.15,2022,2022,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2022,2343750
Mohammed Shami,Gujarat Titans,0,-39.44,-39.44,-39.44,2022,2022,Mohammed Shami|Gujarat Titans,Mohammed Shami|Gujarat Titans|2022,685700
Mukesh Choudhary,Chennai Super Kings,2.38,-136.53,-134.15,-134.15,2022,2022,Mukesh Choudhary|Chennai Super Kings,Mukesh Choudhary|Chennai Super Kings|2022,24000
N Pooran,Sunrisers Hyderabad,-14.69,0,-14.69,-14.69,2022,2022,N Pooran|Sunrisers Hyderabad,N Pooran|Sunrisers Hyderabad|2022,600000
N Rana,Kolkata Knight Riders,14.21,-5.62,8.59,8.59,2022,2022,N Rana|Kolkata Knight Riders,N Rana|Kolkata Knight Riders|2022,531250
PP Shaw,Delhi Capitals,45.18,0,45.18,45.18,2022,2022,PP Shaw|Delhi Capitals,PP Shaw|Delhi Capitals|2022,187500
PWH de Silva,Royal Challengers Bangalore,-17.59,110.44,92.85,92.85,2022,2022,PWH de Silva|Royal Challengers Bangalore,PWH de Silva|Royal Challengers Bangalore|2022,1452703
Q de Kock,Lucknow Super Giants,12.73,0,12.73,12.73,2022,2022,Q de Kock|Lucknow Super Giants,Q de Kock|Lucknow Super Giants|2022,437500
R Ashwin,Rajasthan Royals,13.17,136.86,150.03,150.03,2022,2022,R Ashwin|Rajasthan Royals,R Ashwin|Rajasthan Royals|2022,1100000
R Powell,Delhi Capitals,20.15,-8.62,11.53,11.54,2022,2022,R Powell|Delhi Capitals,R Powell|Delhi Capitals|2022,378378
RA Tripathi,Sunrisers Hyderabad,48.31,0,48.31,48.31,2022,2022,RA Tripathi|Sunrisers Hyderabad,RA Tripathi|Sunrisers Hyderabad|2022,85700
RD Chahar,Punjab Kings,3.33,39.78,43.11,43.1,2022,2022,RD Chahar|Punjab Kings,RD Chahar|Punjab Kings|2022,296880
RD Gaikwad,Chennai Super Kings,-5.01,0,-5.01,-5.01,2022,2022,RD Gaikwad|Chennai Super Kings,RD Gaikwad|Chennai Super Kings|2022,28600
RG Sharma,Mumbai Indians,-35.83,0,-35.83,-35.83,2022,2022,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2022,2343750
RM Patidar,Royal Challengers Bangalore,-17.19,0,-17.19,-17.19,2022,2022,RM Patidar|Royal Challengers Bangalore,RM Patidar|Royal Challengers Bangalore|2022,28600
RR Pant,Delhi Capitals,40.07,0,40.07,40.07,2022,2022,RR Pant|Delhi Capitals,RR Pant|Delhi Capitals|2022,2343750
RV Uthappa,Chennai Super Kings,1.81,0,1.81,1.81,2022,2022,RV Uthappa|Chennai Super Kings,RV Uthappa|Chennai Super Kings|2022,428600
Rashid Khan,Gujarat Titans,32.06,258.6,290.66,290.67,2022,2022,Rashid Khan|Gujarat Titans,Rashid Khan|Gujarat Titans|2022,1406250
S Dhawan,Punjab Kings,-37.75,0,-37.75,-37.75,2022,2022,S Dhawan|Punjab Kings,S Dhawan|Punjab Kings|2022,812500
S Dube,Chennai Super Kings,16.13,-49.26,-33.13,-33.13,2022,2022,S Dube|Chennai Super Kings,S Dube|Chennai Super Kings|2022,628600
SA Yadav,Mumbai Indians,22.82,0,22.82,22.82,2022,2022,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2022,500000
SN Thakur,Delhi Capitals,17.08,-238.94,-221.86,-221.86,2022,2022,SN Thakur|Delhi Capitals,SN Thakur|Delhi Capitals|2022,406250
SO Hetmyer,Rajasthan Royals,-4.92,0,-4.92,-4.92,2022,2022,SO Hetmyer|Rajasthan Royals,SO Hetmyer|Rajasthan Royals|2022,1107100
SS Iyer,Kolkata Knight Riders,3.34,1.39,4.73,4.73,2022,2022,SS Iyer|Kolkata Knight Riders,SS Iyer|Kolkata Knight Riders|2022,1093750
SV Samson,Rajasthan Royals,28.69,0,28.69,28.69,2022,2022,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2022,1250000
Shubman Gill,Gujarat Titans,2.66,0,2.66,2.66,2022,2022,Shubman Gill|Gujarat Titans,Shubman Gill|Gujarat Titans|2022,281250
T Natarajan,Sunrisers Hyderabad,0,-166.87,-166.87,-166.87,2022,2022,T Natarajan|Sunrisers Hyderabad,T Natarajan|Sunrisers Hyderabad|2022,62500
TA Boult,Rajasthan Royals,-1.16,-22.26,-23.42,-23.43,2022,2022,TA Boult|Rajasthan Royals,TA Boult|Rajasthan Royals|2022,460000
TG Southee,Kolkata Knight Riders,-6.45,50.57,44.12,44.12,2022,2022,TG Southee|Kolkata Knight Riders,TG Southee|Kolkata Knight Riders|2022,156250
Tilak Varma,Mumbai Indians,-15.92,7.45,-8.47,-8.47,2022,2022,Tilak Varma|Mumbai Indians,Tilak Varma|Mumbai Indians|2022,#N/A
UT Yadav,Kolkata Knight Riders,12.12,111.5,123.62,123.63,2022,2022,UT Yadav|Kolkata Knight Riders,UT Yadav|Kolkata Knight Riders|2022,142900
Umran Malik,Sunrisers Hyderabad,-2.15,-172.12,-174.27,-174.27,2022,2022,Umran Malik|Sunrisers Hyderabad,Umran Malik|Sunrisers Hyderabad|2022,540541
V Kohli,Royal Challengers Bangalore,-31.97,0,-31.97,-31.97,2022,2022,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2022,2656250
WP Saha,Gujarat Titans,-7.19,0,-7.19,-7.19,2022,2022,WP Saha|Gujarat Titans,WP Saha|Gujarat Titans|2022,171400
YBK Jaiswal,Rajasthan Royals,10.47,0,10.47,10.47,2022,2022,YBK Jaiswal|Rajasthan Royals,YBK Jaiswal|Rajasthan Royals|2022,342900
YS Chahal,Rajasthan Royals,-1.15,16.86,15.71,15.71,2022,2022,YS Chahal|Rajasthan Royals,YS Chahal|Rajasthan Royals|2022,937500
