name,batting_score,bowling_score,overall_score,salary,team,season
RJ Harris,-6.8,-144.21,-151.01,325000,Kings XI Punjab,2011
RP Singh,0.42,-29.55,-29.13,500000,Kochi Tuskers Kerala,2011
RV Uthappa,10.12,0,10.12,2100000,Pune Warriors,2011
S Badrinath,-0.95,0,-0.95,800000,Chennai Super Kings,2011
S Dhawan,13.34,3.43,16.77,300000,Deccan Chargers,2011
SE Marsh,34.38,0,34.38,400000,Kings XI Punjab,2011
SK Raina,49.48,-24.79,24.69,650000,Chennai Super Kings,2011
SK Warne,-9.37,146.71,137.34,450000,Rajasthan Royals,2011
SR Watson,17.3,30.05,47.35,125000,Rajasthan Royals,2011
Shakib Al Hasan,4.8,28.24,33.04,425000,Kolkata Knight Riders,2011
TM Dilshan,8.4,-57.34,-48.94,650000,Royal Challengers Bangalore,2011
YK Pathan,46.55,57.18,103.73,2100000,Kolkata Knight Riders,2011
Yuvraj Singh,34.67,42.99,77.66,1800000,Pune Warriors,2011
Z Khan,-0.24,-122.15,-122.39,900000,Royal Challengers Bangalore,2011
A Mishra,-2.77,298.71,295.94,300000,Deccan Chargers,2012
AB de Villiers,343.32,0,343.32,1100000,Royal Challengers Bangalore,2012
Azhar Mahmood,9.82,442.35,452.17,200000,Kings XI Punjab,2012
BB McCullum,-48.06,0,-48.06,900000,Kolkata Knight Riders,2012
BJ Hodge,30.39,-0.52,29.87,475000,Rajasthan Royals,2012
CH Gayle,950.8,-3.57,947.23,650000,Royal Challengers Bangalore,2012
CL White,89.13,8.14,97.27,1100000,Deccan Chargers,2012
DA Warner,49.37,0,49.37,750000,Delhi Daredevils,2012
DJ Bravo,622.46,-998.93,-376.47,200000,Chennai Super Kings,2012
DJ Hussey,24.48,92.94,117.42,1400000,Kings XI Punjab,2012
DPMD Jayawardene,-24.38,0,-24.38,1400000,Delhi Daredevils,2012
DW Steyn,0.23,706.28,706.51,1200000,Deccan Chargers,2012
G Gambhir,39.42,0,39.42,2400000,Kolkata Knight Riders,2012
GB Hogg,-3.39,423.44,420.05,180000,Rajasthan Royals,2012
JA Morkel,320.43,-1680.15,-1359.72,675000,Chennai Super Kings,2012
JD Ryder,-21.21,6.05,-15.16,150000,Pune Warriors,2012
JH Kallis,-64.6,592.76,528.16,1100000,Kolkata Knight Riders,2012
JP Duminy,9.05,70.56,79.61,300000,Deccan Chargers,2012
KA Pollard,23.91,199.59,223.5,750000,Mumbai Indians,2012
KC Sangakkara,-28.97,0,-28.97,700000,Deccan Chargers,2012
KP Pietersen,35.49,33.28,68.77,1550000,Delhi Daredevils,2012
L Balaji,0,484.63,484.63,500000,Kolkata Knight Riders,2012
M Morkel,-2.68,728.55,725.87,475000,Delhi Daredevils,2012
M Muralitharan,-2.05,-132.03,-134.08,220000,Royal Challengers Bangalore,2012
MEK Hussey,-22.04,0,-22.04,425000,Chennai Super Kings,2012
MK Tiwary,-24.37,0,-24.37,475000,Kolkata Knight Riders,2012
MM Patel,-3.05,478.61,475.56,700000,Mumbai Indians,2012
MS Dhoni,470.03,0,470.03,1500000,Chennai Super Kings,2012
NV Ojha,-23.99,0,-23.99,270000,Delhi Daredevils,2012
OA Shah,15.89,0,15.89,200000,Rajasthan Royals,2012
PP Chawla,4.84,593.29,598.13,900000,Kings XI Punjab,2012
R Ashwin,0.96,-2087.77,-2086.81,850000,Chennai Super Kings,2012
R Dravid,-35.96,0,-35.96,500000,Rajasthan Royals,2012
R Vinay Kumar,394.54,-3143.24,-2748.7,1000000,Royal Challengers Bangalore,2012
RA Jadeja,689.87,-1023.83,-333.96,2000000,Chennai Super Kings,2012
RG Sharma,18.68,-4.82,13.86,2000000,Mumbai Indians,2012
RV Uthappa,-14.27,0,-14.27,2100000,Pune Warriors,2012
S Dhawan,42.85,11.54,54.39,300000,Deccan Chargers,2012
SC Ganguly,-75.37,27.3,-48.07,400000,Pune Warriors,2012
SE Marsh,-46.43,0,-46.43,400000,Kings XI Punjab,2012
SK Raina,580.23,-440.14,140.09,650000,Chennai Super Kings,2012
SP Narine,-0.09,1010.18,1010.09,700000,Kolkata Knight Riders,2012
SR Watson,48.93,273.08,322.01,125000,Rajasthan Royals,2012
Shakib Al Hasan,-2.4,399.82,397.42,425000,Kolkata Knight Riders,2012
TM Dilshan,-43.07,2.62,-40.45,650000,Royal Challengers Bangalore,2012
Z Khan,-4.86,-1644.48,-1649.34,900000,Royal Challengers Bangalore,2012
A Mishra,135.97,-566.57,-430.6,300000,Sunrisers Hyderabad,2013
AB Dinda,3.3,-1619.49,-1616.19,375000,Pune Warriors,2013
AB de Villiers,108.6,0,108.6,1100000,Royal Challengers Bangalore,2013
AC Gilchrist,23.07,1.56,24.63,900000,Kings XI Punjab,2013
AJ Finch,475.92,-22.16,453.76,300000,Pune Warriors,2013
AM Rahane,-69.42,0,-69.42,60000,Rajasthan Royals,2013
Azhar Mahmood,11.15,213.23,224.38,200000,Kings XI Punjab,2013
B Kumar,9.53,-575.45,-565.92,60000,Pune Warriors,2013
BJ Hodge,1.87,6.57,8.44,475000,Rajasthan Royals,2013
CH Gayle,148.41,-10.07,138.34,2000000,Royal Challengers Bangalore,2013
CH Morris,-1.93,144.05,142.12,625000,Chennai Super Kings,2013
CL White,-23.96,2.79,-21.17,1100000,Sunrisers Hyderabad,2013
DA Miller,99.83,0,99.83,100000,Kings XI Punjab,2013
DA Warner,16.74,0,16.74,750000,Delhi Daredevils,2013
DJ Bravo,-17.66,232.07,214.41,200000,Chennai Super Kings,2013
DJ Hussey,-12.09,27.92,15.83,1400000,Kings XI Punjab,2013
DPMD Jayawardene,-41.82,0,-41.82,1400000,Delhi Daredevils,2013
DR Smith,11.6,-24.18,-12.58,100000,Mumbai Indians,2013
DW Steyn,176.16,-2015.94,-1839.78,1200000,Sunrisers Hyderabad,2013
EJG Morgan,12.85,0,12.85,350000,Kolkata Knight Riders,2013
G Gambhir,-12.07,0,-12.07,2400000,Kolkata Knight Riders,2013
Harbhajan Singh,13.05,566.27,579.32,1300000,Mumbai Indians,2013
I Sharma,0,-1244.36,-1244.36,450000,Sunrisers Hyderabad,2013
IK Pathan,-43.84,243.54,199.7,1900000,Delhi Daredevils,2013
JD Unadkat,0.8,255.05,255.85,525000,Royal Challengers Bangalore,2013
JH Kallis,-71.56,219.15,147.59,1100000,Kolkata Knight Riders,2013
JP Faulkner,-6.17,439.07,432.9,400000,Rajasthan Royals,2013
KA Pollard,43.09,-2.33,40.76,900000,Mumbai Indians,2013
KD Karthik,11.63,0,11.63,1200000,Mumbai Indians,2013
L Balaji,3,177.05,180.05,500000,Kolkata Knight Riders,2013
M Vijay,-34.03,0,-34.03,900000,Chennai Super Kings,2013
MEK Hussey,61.45,0,61.45,425000,Chennai Super Kings,2013
MG Johnson,4.33,362.4,366.73,300000,Mumbai Indians,2013
MS Dhoni,86.87,0,86.87,3000000,Chennai Super Kings,2013
NLTC Perera,221.21,-1472.34,-1251.13,650000,Sunrisers Hyderabad,2013
P Awana,-4.28,262.98,258.7,60000,Kings XI Punjab,2013
P Kumar,8.59,352.59,361.18,800000,Kings XI Punjab,2013
PA Patel,331.84,0,331.84,650000,Sunrisers Hyderabad,2013
PP Chawla,-2.5,325.3,322.8,900000,Kings XI Punjab,2013
PP Ojha,-0.4,276.6,276.2,800000,Mumbai Indians,2013
R Ashwin,5.68,423.86,429.54,850000,Chennai Super Kings,2013
R Dravid,-30.34,0,-30.34,500000,Rajasthan Royals,2013
R Rampaul,-5.22,216.41,211.19,290000,Royal Challengers Bangalore,2013
R Vinay Kumar,14.76,138.57,153.33,1000000,Royal Challengers Bangalore,2013
RA Jadeja,20.34,230.78,251.12,2000000,Chennai Super Kings,2013
RG Sharma,49.71,13.28,62.99,2000000,Mumbai Indians,2013
RP Singh,0,115.79,115.79,600000,Royal Challengers Bangalore,2013
RV Uthappa,577.87,0,577.87,2100000,Pune Warriors,2013
S Dhawan,1.58,0,1.58,300000,Sunrisers Hyderabad,2013
SE Marsh,-1.21,0,-1.21,400000,Kings XI Punjab,2013
SK Raina,115.13,-4.21,110.92,1300000,Chennai Super Kings,2013
SL Malinga,-2.14,337.57,335.43,1100000,Mumbai Indians,2013
SP Narine,-1.17,740.01,738.84,700000,Kolkata Knight Riders,2013
SR Tendulkar,0.02,0,0.02,1800000,Mumbai Indians,2013
